Empresa Aérea;Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SWGN;ARAGUAÍNA(TO, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);8;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SNBR;BARREIRAS(BA, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);2;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SNBR;BARREIRAS(BA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);9;    ,00;  11,11;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBZM;REGIONAL DA ZONA DA MATA(MG, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);2;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);2; 100,00;;
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);19;   5,26;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SNBR;BARREIRAS(BA, BRASIL);2;    ,00;  50,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);2; 100,00;;
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);45;   6,67;   2,38;   2,38
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);16;  18,75;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBIL;BAHIA - JORGE AMADO(BA, BRASIL);13;   7,69;   8,33;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);17;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBSP;CONGONHAS(SP, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);34;   2,94;   6,06;   6,06
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBRP;LEITE LOPES(SP, BRASIL);SBSP;CONGONHAS(SP, BRASIL);34;   2,94;   6,06;   6,06
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBRP;LEITE LOPES(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);18;    ,00;  11,11;   5,56
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBRP;LEITE LOPES(SP, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBRP;LEITE LOPES(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);14;    ,00;   7,14;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBRP;LEITE LOPES(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);1;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);18;    ,00;   5,56;   5,56
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBPS;PORTO SEGURO(BA, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);45;   6,67;   2,38;   2,38
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);16;  18,75;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);7;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBIL;BAHIA - JORGE AMADO(BA, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);13;   7,69;   8,33;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBZM;REGIONAL DA ZONA DA MATA(MG, BRASIL);2;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);1;    ,00;    ,00;    ,00
PTB - PASSAREDO TRANSPORTES AÉREOS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);7;    ,00;    ,00;    ,00
