EMPRESA;NOME
AAL;AAL - AMERICAN AIRLINES, INC.
ACA;ACA - AIR CANADA
ACN;ACN - AZUL CONECTA LTDA. (EX TWO TAXIAEREO LTDA)
AEA;AEA - AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA
AFR;AFR - SOCIETE AIR FRANCE
AMX;AMX - AEROVIAS DE MEXICO S.A DE C.V - AEROMEXICO
ANA;ANA - ALL NIPPON AIRWAYS
ANZ;ANZ - AIR NEW ZEALAND LIMITED
ARG;ARG - AEROLINEAS ARGENTINAS S/A
ASO;ASO - AEROSUL TAXI AEREO LTDA (EX.: AUSTEN TAXI AEREO LTDA)
AVA;AVA - AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA
AZA;AZA - ALITALIA SOCIETA AEREA ITALIANA S.P.A.
AZN;AZN - COMPANIA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.
AZP;AZP - COMPANIA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY)
AZU;AZU - AZUL LINHAS AEREAS BRASILEIRAS S/A
BAW;BAW - BRITISH AIRWAYS PLC
BOV;BOV - BOA BOLIVIANA DE AVIACION
CBJ;CBJ - BEIJING CAPITAL AIRLINES
CCA;CCA - AIR CHINA
CMP;CMP - COMPANIA PANAMENA DE AVIACION S.A. (COPA AIRLINES)
CPA;CPA - CATHAY PACIFIC AIRWAYS LIMITED
DAL;DAL - DELTA AIR LINES INC.
DER;DER - DEER JET
DLH;DLH - DEUTSCHE LUFTHANSA A.G.
DTA;DTA - TAAG LINHAS AEREAS DA ANGOLA (ANGOLA AIRLINES)
EDR;EDR - FLY ALLWAYS N.V.
EDW;EDW - EDELWEISS AIR AG
ELY;ELY - EL AL ISRAEL AIRLINES LTD
ETD;ETD - ETIHAD AIRWAYS P.J.S.C.
ETH;ETH - ETHIOPIAN AIRLINES GROUP
FBZ;FBZ - FB LINEAS AEREAS S.A (FLYBONDI)
FDX;FDX - FEDEX - FEDERAL EXPRESS CORPORATION
FIN;FIN - FINNAIR PLC
GLO;GLO - GOL LINHAS AEREAS S.A. (EX- VRG LINHAS AEREAS S.A.)
HHN;HHN - HAHN AIR
IBE;IBE - IBERIA LINEAS AEREAS DE ESPANA SOCIEDAD ANONIMA OPERADORA
IPM;IPM - ITAPEMIRIM TRANSPORTES AEREOS LTDA
JAL;JAL - JAPAN AIRLINES INTERNATIONAL COMPANY LIMITED
JAT;JAT - JETSMART AIRLINES SPA - CHILE
JBU;JBU - JETBLUE AIRWAYS
KAL;KAL - KOREAN AIR LINES CO. LTD.
KLM;KLM - KLM CIA. REAL HOLANDESA DE AVIAÇÃO
LAN;LAN - LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A)
LAP;LAP - TRANSPORTE AEREOS DEL MERCOSUR S.A. (TAM MERCOSUR)
LNE;LNE - LATAM AIRLINES ECUADOR S.A.
LPE;LPE - LAN PERU S.A.
MSR;MSR - EGYPTAIR
OMI;OMI - OMNI TAXI AEREO S.A.
OWT;OWT - TWO TAXI AEREO LTDA.
OWT;OWT - AZUL CONECTA LTDA. (EX TWO TAXIAEREO LTDA)
PAM;PAM - MAP TRANSPORTES AEREOS LTDA.
PTB;PTB - PASSAREDO TRANSPORTES AEREOS S.A.
QFA;QFA - QANTAS AIRWAYS
QTR;QTR - QATAR AIRWAYS
SAA;SAA - SOUTH AFRICAN AIRWAYS STATE OWNED COMPANY (SOC) LIMITED
SIA;SIA - SINGAPORE AIRLINES LIMITED
SID;SID - SIDERAL LINHAS AEREAS LTDA.
SKU;SKU - SKY AIRLINES S.A.
SLM;SLM - SURINAM AIRWAYS LTD
SRW;SRW - SARIT AIRLINES
SUL;SUL - ASTA LINHAS AEREAS LTDA ( EX - AMERICA DO SUL LINHAS AEREAS LTDA.)
SWR;SWR - SWISS INTERNATIONAL AIR LINES LTD.
TAM;TAM - TAM LINHAS AEREAS S.A.
TAP;TAP - TAP - TRANSPORTES AEREOS PORTUGUESES S/A
TCV;TCV - EMPRESA DE TRANSPORTES AEREOS DE CABO VERDE - TACV S.A.
TGY;TGY - TRANS GUYANA AIRWAYS
THY;THY - TURKISH AIRLINES INC
TPA;TPA - TAMPA CARGO S.A.
UAE;UAE - EMIRATES
UAL;UAL - UNITED AIRLINES, INC
VIR;VIR - VIRGIN ATLANTIC AIRWAYS LIMITED
