ANO;MES;EMPRESA;VOO;OACI_ORIGEM;OACI_DESTINO;VOOS;CANCELADOS;NA_HORA;ATRASADOS_ACIMA_30;ATRASADOS_ACIMA_60
2021;1;AAL;904;SBGL;KMIA;31;0;24;1;6
2021;1;AAL;905;KMIA;SBGL;31;1;22;7;1
2021;1;AAL;906;SBGR;KMIA;31;0;21;2;8
2021;1;AAL;929;KMIA;SBGR;31;0;19;0;12
2021;1;AAL;950;SBGR;KJFK;1;1;0;0;0
2021;1;AAL;951;KJFK;SBGR;2;2;0;0;0
2021;1;AAL;962;SBGR;KDFW;31;0;27;0;4
2021;1;AAL;963;KDFW;SBGR;31;0;28;1;2
2021;1;AAL;964;SBEG;KMIA;19;0;18;0;1
2021;1;AAL;1265;KMIA;SBEG;21;2;18;0;1
2021;1;AAL;7793;SBGR;SBRF;18;0;17;1;0
2021;1;AAL;7844;SBGR;KJFK;16;1;14;1;0
2021;1;AAL;7845;KJFK;SBGR;15;0;15;0;0
2021;1;AAL;7848;SBGR;KMIA;22;0;22;0;0
2021;1;AAL;7849;KMIA;SBGR;22;0;21;0;1
2021;1;ACA;90;CYYZ;SBGR;14;5;7;1;1
2021;1;ACA;91;SBGR;CYYZ;14;0;14;0;0
2021;1;ACA;96;CYUL;SBGR;8;0;8;0;0
2021;1;ACA;97;SBGR;CYUL;8;0;8;0;0
2021;1;AEA;23;SGAS;SACO;4;4;0;0;0
2021;1;AEA;23;LEMD;SGAS;4;4;0;0;0
2021;1;AEA;24;SACO;SGAS;3;3;0;0;0
2021;1;AEA;24;SGAS;LEMD;3;3;0;0;0
2021;1;AEA;25;LEMD;SLVR;5;5;0;0;0
2021;1;AEA;26;SLVR;LEMD;3;3;0;0;0
2021;1;AEA;41;LEMD;SAEZ;5;5;0;0;0
2021;1;AEA;42;SAEZ;LEMD;4;4;0;0;0
2021;1;AEA;45;LEMD;SUMU;4;4;0;0;0
2021;1;AEA;46;SUMU;LEMD;3;3;0;0;0
2021;1;AEA;57;LEMD;SBGR;13;1;9;0;3
2021;1;AEA;58;SBGR;LEMD;13;1;12;0;0
2021;1;AEA;83;LEMD;SBSV;7;1;4;0;2
2021;1;AEA;84;SBSV;LEMD;8;0;8;0;0
2021;1;AEA;175;LEMD;SPJC;5;5;0;0;0
2021;1;AEA;176;SPJC;LEMD;4;4;0;0;0
2021;1;AFR;415;SBFZ;LFPG;3;0;3;0;0
