Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
EDDF;FRANKFURT INTERNATIONAL AIRPORT(, ALEMANHA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);47;0;12,77;0
EHAM;AMSTERDAM AIRPORT SCHIPHOL(, HOLANDA);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);21;0;0;0
EHAM;AMSTERDAM AIRPORT SCHIPHOL(, HOLANDA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;6,67;35,71;35,71
HAAB;BOLE INTERNATIONAL AIRPORT(, ETIÓPIA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);29;41,38;29,41;0
KATL;HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;0;33,33;13,33
KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;3,33;10,34;10,34
KEWR;NEWARK LIBERTY INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;0;3,33;3,33
KFLL;FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBKP;VIRACOPOS(SP, BRASIL);13;92,31;100;100
KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);21;0;4,76;4,76
KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;3,33;6,9;3,45
KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);59;3,39;3,51;1,75
KMEM;MEMPHIS INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBKP;VIRACOPOS(SP, BRASIL);26;3,85;48;12
KMEM;MEMPHIS INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);TJBQ;RAFAEL HERNÁNDEZ AIRPORT(, PORTO RICO);4;0;50;25
KMIA;MIAMI INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBEG;EDUARDO GOMES(AM, BRASIL);13;46,15;0;0
KMIA;MIAMI INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);29;3,45;10,71;3,57
KMIA;MIAMI INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);42;2,38;9,76;7,32
KORD;O´HARE INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);9;0;11,11;11,11
LEMD;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(, ESPANHA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);39;2,56;2,63;2,63
LFPG;PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(, FRANÇA);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);14;7,14;23,08;15,38
LFPG;PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(, FRANÇA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);26;15,38;0;0
LPPR;PORTO(, PORTUGAL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);2;0;0;0
LPPT;LISBOA(, PORTUGAL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);6;33,33;0;0
LPPT;LISBOA(, PORTUGAL);SBCF;TANCREDO NEVES(MG, BRASIL);6;16,67;0;0
LPPT;LISBOA(, PORTUGAL);SBFZ;PINTO MARTINS(CE, BRASIL);8;12,5;0;0
LPPT;LISBOA(, PORTUGAL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);14;35,71;0;0
LPPT;LISBOA(, PORTUGAL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);22;18,18;16,67;0
LPPT;LISBOA(, PORTUGAL);SBKP;VIRACOPOS(SP, BRASIL);6;0;16,67;0
